test,test ejection will commence in 596.6026484966278 : Time = 2025-02-28T13:28:51.402294,2025-02-28T13:28:51.402303
test,test ejection will commence in 596.5371270179749 : Time = 2025-02-28T13:28:51.467815,2025-02-28T13:28:51.467825
test,test ejection will commence in 596.4705035686493 : Time = 2025-02-28T13:28:51.534439,2025-02-28T13:28:51.534449
test,test mosfet triggered : Time = 2025-02-28T13:28:51.663893,2025-02-28T13:28:51.663903
test,test ejection will commence in 599.9334411621094 : Time = 2025-02-28T13:28:51.730465,2025-02-28T13:28:51.730473
test,test ejection will commence in 599.8625762462616 : Time = 2025-02-28T13:28:51.801330,2025-02-28T13:28:51.801339
test,test ejection will commence in 599.7922253608704 : Time = 2025-02-28T13:28:51.871681,2025-02-28T13:28:51.871688
test,test ejection will commence in 599.7239801883698 : Time = 2025-02-28T13:28:51.939926,2025-02-28T13:28:51.939934
test,test ejection will commence in 599.6530983448029 : Time = 2025-02-28T13:28:52.010808,2025-02-28T13:28:52.010816
test,test ejection will commence in 599.5860159397125 : Time = 2025-02-28T13:28:52.077890,2025-02-28T13:28:52.077899
test,test ejection will commence in 599.517881155014 : Time = 2025-02-28T13:28:52.146025,2025-02-28T13:28:52.146034
test,test ejection will commence in 599.4481992721558 : Time = 2025-02-28T13:28:52.215707,2025-02-28T13:28:52.215716
test,test ejection will commence in 599.3782451152802 : Time = 2025-02-28T13:28:52.285661,2025-02-28T13:28:52.285671
test,test ejection will commence in 599.3086986541748 : Time = 2025-02-28T13:28:52.355207,2025-02-28T13:28:52.355216
test,test ejection will commence in 599.2387380599976 : Time = 2025-02-28T13:28:52.425168,2025-02-28T13:28:52.425176
test,test ejection will commence in 599.1681990623474 : Time = 2025-02-28T13:28:52.495707,2025-02-28T13:28:52.495715
test,test ejection will commence in 599.0937585830688 : Time = 2025-02-28T13:28:52.570148,2025-02-28T13:28:52.570156
test,test ejection will commence in 599.0255734920502 : Time = 2025-02-28T13:28:52.638333,2025-02-28T13:28:52.638341
test,test ejection will commence in 598.9587564468384 : Time = 2025-02-28T13:28:52.705150,2025-02-28T13:28:52.705159
test,test ejection will commence in 598.8890914916992 : Time = 2025-02-28T13:28:52.774815,2025-02-28T13:28:52.774822
test,test ejection will commence in 598.8198144435883 : Time = 2025-02-28T13:28:52.844092,2025-02-28T13:28:52.844099
test,test ejection will commence in 598.7526648044586 : Time = 2025-02-28T13:28:52.911241,2025-02-28T13:28:52.911251
test,test ejection will commence in 598.68394780159 : Time = 2025-02-28T13:28:52.979958,2025-02-28T13:28:52.979967
test,test ejection will commence in 598.6152369976044 : Time = 2025-02-28T13:28:53.048669,2025-02-28T13:28:53.048678
test,test ejection will commence in 598.5464615821838 : Time = 2025-02-28T13:28:53.117445,2025-02-28T13:28:53.117453
test,test ejection will commence in 598.4778549671173 : Time = 2025-02-28T13:28:53.186051,2025-02-28T13:28:53.186062
test,test ejection will commence in 598.4083254337311 : Time = 2025-02-28T13:28:53.255580,2025-02-28T13:28:53.255588
test,test ejection will commence in 598.3380994796753 : Time = 2025-02-28T13:28:53.325807,2025-02-28T13:28:53.325816
test,test ejection will commence in 598.2660851478577 : Time = 2025-02-28T13:28:53.397821,2025-02-28T13:28:53.397829
test,test ejection will commence in 598.1990187168121 : Time = 2025-02-28T13:28:53.464887,2025-02-28T13:28:53.464896
test,test ejection will commence in 598.1301565170288 : Time = 2025-02-28T13:28:53.533749,2025-02-28T13:28:53.533757
test,test ejection will commence in 598.0620357990265 : Time = 2025-02-28T13:28:53.601873,2025-02-28T13:28:53.601883
test,test ejection will commence in 597.9844477176666 : Time = 2025-02-28T13:28:53.679458,2025-02-28T13:28:53.679467
test,test ejection will commence in 597.9164624214172 : Time = 2025-02-28T13:28:53.747444,2025-02-28T13:28:53.747452
test,test ejection will commence in 597.8474950790405 : Time = 2025-02-28T13:28:53.816411,2025-02-28T13:28:53.816420
test,test ejection will commence in 597.7789011001587 : Time = 2025-02-28T13:28:53.885007,2025-02-28T13:28:53.885022
test,test ejection will commence in 597.7045965194702 : Time = 2025-02-28T13:28:53.959310,2025-02-28T13:28:53.959319
test,test ejection will commence in 597.6329619884491 : Time = 2025-02-28T13:28:54.030944,2025-02-28T13:28:54.030952
test,test ejection will commence in 597.56369972229 : Time = 2025-02-28T13:28:54.100206,2025-02-28T13:28:54.100214
test,test ejection will commence in 597.493435382843 : Time = 2025-02-28T13:28:54.170470,2025-02-28T13:28:54.170478
test,test ejection will commence in 597.4240317344666 : Time = 2025-02-28T13:28:54.239875,2025-02-28T13:28:54.239882
test,test ejection will commence in 597.3555917739868 : Time = 2025-02-28T13:28:54.308314,2025-02-28T13:28:54.308322
test,test ejection will commence in 597.2843792438507 : Time = 2025-02-28T13:28:54.379526,2025-02-28T13:28:54.379534
test,test ejection will commence in 597.2160251140594 : Time = 2025-02-28T13:28:54.447881,2025-02-28T13:28:54.447888
test,test ejection will commence in 597.1470279693604 : Time = 2025-02-28T13:28:54.516878,2025-02-28T13:28:54.516886
test,test ejection will commence in 597.0779736042023 : Time = 2025-02-28T13:28:54.585932,2025-02-28T13:28:54.585942
test,test ejection will commence in 597.0082828998566 : Time = 2025-02-28T13:28:54.655623,2025-02-28T13:28:54.655631
test,test ejection will commence in 596.9397079944611 : Time = 2025-02-28T13:28:54.724198,2025-02-28T13:28:54.724207
test,test ejection will commence in 596.8686814308167 : Time = 2025-02-28T13:28:54.795225,2025-02-28T13:28:54.795234
test,test ejection will commence in 596.7986540794373 : Time = 2025-02-28T13:28:54.865252,2025-02-28T13:28:54.865262
test,test ejection will commence in 596.7269015312195 : Time = 2025-02-28T13:28:54.937004,2025-02-28T13:28:54.937014
test,test ejection will commence in 596.657824754715 : Time = 2025-02-28T13:28:55.006081,2025-02-28T13:28:55.006091
test,test ejection will commence in 596.5883569717407 : Time = 2025-02-28T13:28:55.075549,2025-02-28T13:28:55.075557
test,test ejection will commence in 596.5194387435913 : Time = 2025-02-28T13:28:55.144467,2025-02-28T13:28:55.144475
test,test ejection will commence in 596.4510827064514 : Time = 2025-02-28T13:28:55.212823,2025-02-28T13:28:55.212830
test,test ejection will commence in 596.3773672580719 : Time = 2025-02-28T13:28:55.286539,2025-02-28T13:28:55.286549
test,test ejection will commence in 596.3049721717834 : Time = 2025-02-28T13:28:55.358934,2025-02-28T13:28:55.358944
test,test ejection will commence in 596.2346680164337 : Time = 2025-02-28T13:28:55.429238,2025-02-28T13:28:55.429247
test,test ejection will commence in 596.1646947860718 : Time = 2025-02-28T13:28:55.499211,2025-02-28T13:28:55.499221
test,test ejection will commence in 596.0930893421173 : Time = 2025-02-28T13:28:55.570817,2025-02-28T13:28:55.570826
test,test ejection will commence in 596.0238659381866 : Time = 2025-02-28T13:28:55.640040,2025-02-28T13:28:55.640048
test,test ejection will commence in 595.9532542228699 : Time = 2025-02-28T13:28:55.710652,2025-02-28T13:28:55.710662
test,test ejection will commence in 595.8822212219238 : Time = 2025-02-28T13:28:55.781685,2025-02-28T13:28:55.781692
test,test ejection will commence in 595.8106217384338 : Time = 2025-02-28T13:28:55.853284,2025-02-28T13:28:55.853293
test,test ejection will commence in 595.7410333156586 : Time = 2025-02-28T13:28:55.922872,2025-02-28T13:28:55.922881
test,test ejection will commence in 595.6665890216827 : Time = 2025-02-28T13:28:55.997317,2025-02-28T13:28:55.997327
test,test ejection will commence in 595.5967152118683 : Time = 2025-02-28T13:28:56.067190,2025-02-28T13:28:56.067198
test,test ejection will commence in 595.5271461009979 : Time = 2025-02-28T13:28:56.136760,2025-02-28T13:28:56.136770
test,test ejection will commence in 595.4576137065887 : Time = 2025-02-28T13:28:56.206293,2025-02-28T13:28:56.206301
test,test ejection will commence in 595.3886277675629 : Time = 2025-02-28T13:28:56.275278,2025-02-28T13:28:56.275287
test,test ejection will commence in 595.3179392814636 : Time = 2025-02-28T13:28:56.345967,2025-02-28T13:28:56.345976
test,test ejection will commence in 595.2466807365417 : Time = 2025-02-28T13:28:56.417226,2025-02-28T13:28:56.417235
test,test ejection will commence in 595.1779682636261 : Time = 2025-02-28T13:28:56.485938,2025-02-28T13:28:56.485948
test,test ejection will commence in 595.1074512004852 : Time = 2025-02-28T13:28:56.556455,2025-02-28T13:28:56.556464
test,test ejection will commence in 595.0368666648865 : Time = 2025-02-28T13:28:56.627040,2025-02-28T13:28:56.627050
test,test ejection will commence in 594.966203212738 : Time = 2025-02-28T13:28:56.697703,2025-02-28T13:28:56.697710
test,test ejection will commence in 594.8943719863892 : Time = 2025-02-28T13:28:56.769534,2025-02-28T13:28:56.769543
test,test ejection will commence in 594.8222229480743 : Time = 2025-02-28T13:28:56.841683,2025-02-28T13:28:56.841691
test,test ejection will commence in 594.7510738372803 : Time = 2025-02-28T13:28:56.912832,2025-02-28T13:28:56.912839
test,test ejection will commence in 594.680273771286 : Time = 2025-02-28T13:28:56.983632,2025-02-28T13:28:56.983641
test,test ejection will commence in 594.606751203537 : Time = 2025-02-28T13:28:57.057155,2025-02-28T13:28:57.057165
test,test mosfet triggered : Time = 2025-02-28T13:38:32.355621,2025-02-28T13:38:32.355642
test,test ejection will commence in 599.9331171512604 : Time = 2025-02-28T13:38:32.422528,2025-02-28T13:38:32.422540
test,test ejection will commence in 599.868350982666 : Time = 2025-02-28T13:38:32.487294,2025-02-28T13:38:32.487304
test,test ejection will commence in 599.8035180568695 : Time = 2025-02-28T13:38:32.552127,2025-02-28T13:38:32.552136
